listing_name,city,country,price_raw,property_type,guests,bedrooms,beds,baths,host_name,is_superhost,is_guest_favorite,rating,reviews,scrape_date,url
Stylish Canal View Apartment | Walk to Leidseplein,Amsterdam,Netherlands,,Entire home,5.0,2.0,2.0,1.5,JohannaNew HostListing highlig,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1718938950198670061?search_mode=regular_search&adults=1&check_in=2026-07-26&check_out=2026-07-31&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3Jk_GKahzW_La2C&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Quiet apartment near the Zoo,Amsterdam,Netherlands,€5.90,Entire condo,4.0,2.0,4.0,2.5,StefaanSuperhost,1,1,4.85,85131,2026-07-07,https://www.airbnb.com/rooms/861561560263702727?search_mode=regular_search&adults=1&check_in=2026-08-03&check_out=2026-08-08&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3emedgJVFZSZcxr&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Captain's House,Amsterdam,Netherlands,,Entire rental unit,4.0,2.0,3.0,1.5,ArjenSuperhost,1,1,4.99,99183,2026-07-07,https://www.airbnb.com/rooms/28198817?search_mode=regular_search&adults=1&check_in=2026-09-27&check_out=2026-10-02&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3h4GMXno42TGcd4&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
Amsterdam Group Stay | 20+ Beds | 4-5 bedrooms,Amsterdam,Netherlands,€50,Entire home,20.0,5.0,14.0,4.0,Amsterdam Group Stay,1,1,4.97,97313,2026-07-07,https://www.airbnb.com/rooms/35531130?search_mode=regular_search&adults=1&check_in=2026-10-10&check_out=2026-10-15&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3EFl4O7ZnkS7eDO&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
"Luxury Design Loft, unique stay next to Vondelpark",Amsterdam,Netherlands,,Entire rental unit,4.0,3.0,3.0,2.5,ElifSuperhost,1,0,5.0,16,2026-07-07,https://www.airbnb.com/rooms/1136684273822827716?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432368_P3OQJ1r2y4XrtTqf&previous_page_section_name=1000&federated_search_id=085feb23-906a-4562-bfd9-3e717f3161d4
luxurious Canal house Amsterdam,Amsterdam,Netherlands,,Entire rental unit,6.0,2.0,3.0,1.5,LoekSuperhost,1,1,4.91,91159,2026-07-07,https://www.airbnb.com/rooms/1138351667104781985?search_mode=regular_search&adults=1&check_in=2026-08-30&check_out=2026-09-04&children=0&infants=0&pets=0&source_impression_id=p3_1783432505_P3hf0GwORUwroT52&previous_page_section_name=1000&federated_search_id=dced44a7-f5ad-45dd-b34d-d3ed5998bb26
Beautiful 2BR AP w/ Roof Terrace near City Center,Amsterdam,Netherlands,€350,Entire rental unit,4.0,2.0,2.0,1.5,TijmenNew HostWelcome to our b,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1719624754277406318?search_mode=regular_search&adults=1&check_in=2026-08-15&check_out=2026-08-20&children=0&infants=0&pets=0&source_impression_id=p3_1783432505_P3M-LLE5L2u1ZlSo&previous_page_section_name=1000&federated_search_id=dced44a7-f5ad-45dd-b34d-d3ed5998bb26
"Wonderful luxury log cabin with Jacuzzi, air conditioning, and sauna",Amsterdam,Netherlands,,Entire home,4.0,2.0,2.0,1.0,DylanSuperhost,1,1,4.92,9224,2026-07-07,https://www.airbnb.com/rooms/1676083778186734538?search_mode=regular_search&adults=1&check_in=2026-09-06&check_out=2026-09-11&children=0&infants=0&pets=0&source_impression_id=p3_1783432505_P3xfgM6PKEYI2GMu&previous_page_section_name=1000&federated_search_id=dced44a7-f5ad-45dd-b34d-d3ed5998bb26
Iconic Acropolis Views • 2 BR Spacious Penthouse.!,Athens,Greece,,Entire condo,4.0,2.0,3.0,1.0,AlexandraSuperhost,1,1,4.99,99153,2026-07-07,https://www.airbnb.com/rooms/1305893396922698581?search_mode=regular_search&adults=1&check_in=2026-07-19&check_out=2026-07-24&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3tK37_WxrY_X8aE&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
1930s Architect-Designed Gem | 3BR 110m² Athens,Athens,Greece,,Entire rental unit,7.0,3.0,4.0,2.0,Ira,1,0,,,2026-07-07,https://www.airbnb.com/rooms/1707038368525747024?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783432538_P3KzCpnFn9qiT-5X&previous_page_section_name=1000&federated_search_id=268cafac-ff80-4eba-9973-4b2016b1e949
